Date,Daily Rainfall (m.m)
01-06-2025,0
02-06-2025,0.9
03-06-2025,0
04-06-2025,0
05-06-2025,0.3
06-06-2025,0.1
07-06-2025,0.9
08-06-2025,0.7
09-06-2025,11.7
10-06-2025,29.5
11-06-2025,10.1
12-06-2025,1.7
13-06-2025,4.8
14-06-2025,0.6
15-06-2025,0.1
16-06-2025,0.2
17-06-2025,2.8
18-06-2025,0.4
19-06-2025,0.5
20-06-2025,3.5
21-06-2025,0.1
22-06-2025,2.1
23-06-2025,0.2
24-06-2025,1.9
25-06-2025,3.1
26-06-2025,59.4
27-06-2025,2.9
28-06-2025,2
29-06-2025,0.2
30-06-2025,0.1
